№,romn XML,root text TXT,Текст / раздел,Статус,Итоговый источник,Итоговый файл,Примечание
43,romn/s0515m.mul.xml,root text files/s0515m.mul.txt,Mahāniddesapāḷi,MŪLA,09,09_KN_EXEGETICAL_MULA.txt,
44,romn/s0516m.mul.xml,root text files/s0516m.mul.txt,Cūḷaniddesapāḷi,MŪLA,09,09_KN_EXEGETICAL_MULA.txt,
45,romn/s0517m.mul.xml,root text files/s0517m.mul.txt,Paṭisambhidāmaggapāḷi,MŪLA,09,09_KN_EXEGETICAL_MULA.txt,
46,romn/s0518m.nrf.xml,root text files/s0518m.nrf.txt,Milindapañhapāḷi,NRF / supplementary in repo,10,10_KN_NETTI_MILINDA_PETAKA.txt,Канонический статус различается между тхеравадинскими традициями; хранить с отдельной маркировкой.
47,romn/s0519m.mul.xml,root text files/s0519m.mul.txt,Nettippakaraṇapāḷi,MŪLA,10,10_KN_NETTI_MILINDA_PETAKA.txt,В VRI/CST входит в Mūla-навигацию; канонический статус регионально различается.
48,romn/s0520m.nrf.xml,root text files/s0520m.nrf.txt,Peṭakopadesapāḷi,NRF / supplementary in repo,10,10_KN_NETTI_MILINDA_PETAKA.txt,Канонический статус различается между тхеравадинскими традициями; хранить с отдельной маркировкой.
49,romn/abh01m.mul.xml,root text files/abh01m.mul.txt,Dhammasaṅgaṇīpāḷi,MŪLA,11,11_ABHIDHAMMA_CORE_MULA.txt,
50,romn/abh02m.mul.xml,root text files/abh02m.mul.txt,Vibhaṅgapāḷi,MŪLA,11,11_ABHIDHAMMA_CORE_MULA.txt,
51,romn/abh03m1.mul.xml,root text files/abh03m1.mul.txt,Dhātukathāpāḷi,MŪLA,11,11_ABHIDHAMMA_CORE_MULA.txt,
52,romn/abh03m2.mul.xml,root text files/abh03m2.mul.txt,Puggalapaññattipāḷi,MŪLA,11,11_ABHIDHAMMA_CORE_MULA.txt,
53,romn/abh03m3.mul.xml,root text files/abh03m3.mul.txt,Kathāvatthupāḷi,MŪLA,11,11_ABHIDHAMMA_CORE_MULA.txt,
54,romn/abh03m4.mul.xml,root text files/abh03m4.mul.txt,Yamakapāḷi — part 1,MŪLA,12,12_YAMAKA_MULA.txt,
55,romn/abh03m5.mul.xml,root text files/abh03m5.mul.txt,Yamakapāḷi — part 2,MŪLA,12,12_YAMAKA_MULA.txt,
56,romn/abh03m6.mul.xml,root text files/abh03m6.mul.txt,Yamakapāḷi — part 3,MŪLA,12,12_YAMAKA_MULA.txt,
57,romn/abh03m7.mul.xml,root text files/abh03m7.mul.txt,Paṭṭhānapāḷi — part 1,MŪLA,13,13_PATTHANA_MULA.txt,
58,romn/abh03m8.mul.xml,root text files/abh03m8.mul.txt,Paṭṭhānapāḷi — part 2,MŪLA,13,13_PATTHANA_MULA.txt,
59,romn/abh03m9.mul.xml,root text files/abh03m9.mul.txt,Paṭṭhānapāḷi — part 3,MŪLA,13,13_PATTHANA_MULA.txt,
60,romn/abh03m10.mul.xml,root text files/abh03m10.mul.txt,Paṭṭhānapāḷi — part 4,MŪLA,13,13_PATTHANA_MULA.txt,
61,romn/abh03m11.mul.xml,root text files/abh03m11.mul.txt,Paṭṭhānapāḷi — part 5,MŪLA,13,13_PATTHANA_MULA.txt,
